"id","id_1","id_2","id_3","id_4","id_5","id_6","id_7","id_8","id_10","id_11","id_13","id_14","id_15","id_16","id_17","id_18","id_19","id_20","id_22","id_24","id_28","id_29","id_33","id_35","id_39","id_45","id_46","id_47","id_48","id_49","id_50","id_55","id_69","id_105","id_117","id_119","id_133","id_165","id_203","id_214","id_276","id_304","id_473","id_479","id_641","id_746","id_748","id_749","id_750","id_751","id_752","id_753","id_754","id_755","id_756","id_757","id_758","id_759","id_760","id_761","id_762","id_763","id_764","id_765","id_766","id_767","id_768","id_769","id_770","id_771","id_772","id_773","id_774","id_775","id_776","id_777","id_778"
"id_759",0,0,0,0,0,0,0,0,0,1539,0,0,0,0,0,0,0,0,819,0,915,1834,1378,0,3165,0,0,0,0,0,0,1579,1934,1934,1466,2382,298,0,2089,3164,1259,2634,2338,3475,359,7,0,0,265,0,0,0,0,0,0,0,265,0,3637,0,3540,389,574,0,2822,0,0,0,0,0,0,0,0,0,0,0,0
"id_760",0,0,0,0,262,0,0,0,0,2110,0,0,0,0,0,0,0,0,62,0,2703,2550,1831,0,296,86,0,0,0,0,0,295,0,0,766,0,183,0,1950,1978,2576,2232,2990,5125,0,0,0,0,101,0,0,0,0,0,0,0,0,3726,0,511,6395,390,1548,396,2653,0,0,0,0,0,0,0,0,0,0,0,0
"id_761",0,0,0,0,535,579,7,732,0,0,0,0,0,0,0,0,0,0,0,0,272,3077,0,0,5769,7200,0,0,0,0,0,119,0,0,0,0,681,0,0,0,465,7200,4561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2030,0,5458,0,0,7200,7193,0,0,0,0,0,0,0,0,0,0,0,0
"id_762",0,0,0,0,0,0,0,0,0,3206,0,0,0,0,0,0,0,0,0,0,2973,3101,1754,0,4285,0,0,0,0,0,0,535,0,0,766,0,200,0,1905,754,2927,463,3651,5658,0,0,0,0,391,0,0,0,0,0,0,0,0,3952,6830,81,0,549,1517,1097,6384,0,0,0,0,0,0,0,0,0,0,0,0
"id_763",0,0,0,0,0,0,0,0,0,4322,0,0,0,0,0,0,0,0,2758,0,5017,687,1123,0,0,0,0,0,0,0,0,485,706,515,303,768,1204,0,1303,3162,1906,0,2656,3282,0,329,0,0,767,0,0,0,0,0,12,0,124,406,348,0,694,0,4719,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"id_764",0,0,0,0,0,0,0,0,0,3463,0,0,0,0,0,0,0,0,2352,0,3305,1392,2100,0,109,0,0,0,0,0,0,514,1635,96,765,762,436,0,4323,3220,1661,0,52,1707,112,35,0,0,945,0,0,0,0,0,0,0,507,437,1104,0,0,5026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_765",0,0,1133,1345,2357,4956,4980,3451,0,27,0,0,0,0,0,0,0,0,0,0,614,769,0,0,2637,5242,0,0,0,0,112,0,0,0,0,0,717,0,0,0,1258,5836,4415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,933,6553,1321,0,0,0,5720,0,0,0,0,0,0,0,0,0,0,0,0
"id_766",0,0,0,0,481,901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,2305,0,0,5266,6223,0,0,0,0,0,221,0,0,0,0,240,0,0,0,1535,6787,5055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2681,6868,6215,0,0,7036,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_767",0,0,0,0,0,0,0,0,0,49,0,231,0,0,0,0,0,71,13,0,0,0,0,0,0,0,0,0,0,0,0,120,0,92,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0
"id_768",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,24,0,0,0,0,0,0,0,0,0,0,323,53,234,329,167,75,0,0,0,67,0,0,0,0,449,0,256,0,0,130,0,0,0,0,286,0,0,0,0,0,13,0,0,0,0,0,0,0,0,134,0,337,67,0,122,0
