"id","id_1","id_2","id_3","id_4","id_5","id_6","id_7","id_9","id_10","id_11","id_12","id_13","id_14","id_15","id_16","id_17","id_18","id_19","id_20","id_21","id_22","id_23","id_24","id_25","id_26","id_27","id_28","id_31","id_32","id_33","id_34","id_35","id_36","id_37","id_39","id_41","id_42","id_43","id_45","id_46","id_47","id_48","id_52","id_53","id_54","id_56","id_57","id_58","id_59","id_61","id_62","id_63","id_65","id_66","id_67","id_68","id_69","id_70","id_71","id_72","id_73","id_74","id_75","id_79","id_83","id_84","id_85","id_86","id_88","id_122","id_132","id_149","id_222","id_270","id_325","id_456","id_737","id_744","id_745","id_746","id_749","id_751","id_752","id_753","id_754","id_755","id_756","id_757","id_758","id_759","id_760","id_761","id_762","id_763","id_764","id_765","id_766","id_767","id_769","id_770"
"id_17",0,0,0,0,0,0,0,0,0,0,0,0,6173,7200,7200,0,7200,2035,0,0,0,0,0,0,0,0,0,1111,0,0,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_18",0,0,0,0,0,0,0,0,0,0,0,0,149,6353,7200,7200,0,2853,0,0,0,0,0,0,0,0,0,3972,5008,109,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_19",0,0,0,0,0,0,0,0,0,0,0,0,7200,7187,7200,7200,2853,0,0,0,0,0,0,0,0,0,0,1807,3482,0,7198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3859,5286,4859,0,409,0,103,0,0,385,0,0,0,1868,2894,5452,1086,0,25,392,0,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,5507,0,369,0,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3870,0,85,0,0,5752,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4322,2,0,1562,0,0,0,0,0,0,553,0,0,0,0,0,7200,1675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4703,1539,1562,0,0,0,0,0,0,0,969,0,0,0,0,87,7200,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_24",6980,3979,0,238,0,0,0,0,0,0,0,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,0,0,0,0,0,0,0,2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,0,0,0,0,0,0,0,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837,777,31,0,0,0,2834,6373,2,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,6688,0,0,0,0,0,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875,0,6907,6657,205,670,522,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5684,0,0,0,5379,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
