"id","id_1","id_2","id_4","id_6","id_8","id_9","id_12","id_13","id_14","id_16","id_17","id_20","id_21","id_23","id_25","id_26","id_27","id_30","id_32","id_34","id_36","id_39","id_41","id_42","id_44","id_45","id_48","id_53","id_56","id_66","id_67","id_68","id_69","id_98","id_260","id_286","id_307","id_315","id_316","id_317","id_321","id_325","id_335","id_340","id_362","id_373","id_414","id_419","id_422","id_425","id_428","id_436","id_437","id_438","id_439","id_440","id_441","id_442","id_443","id_444","id_445","id_446","id_447","id_448","id_449","id_450","id_451","id_452","id_453","id_454","id_455","id_456","id_457","id_458","id_459","id_460","id_461","id_462","id_463","id_464","id_465","id_466","id_467","id_468","id_469","id_470"
"id_66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7184,0,7210,0,3611,0,0,0,1223,0,0,0,7208,5644,0,5279,0,0,0,0,1924,7203,7210,0,0,0,0,2164,6639,6411,5778,7210,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643
"id_67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6848,0,0,1013,7210,0,0,147,0,0,0,938,0,0,0,7210,2829,0,7210,0,0,0,0,0,7210,238,0,0,0,0,0,299,7143,7165,4839,7210,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4922
"id_68",5050,250,0,3720,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845,0,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5007,3055,3952,3919,1896,0,0,0,0,0,0,0
"id_69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5041,3580,212,0,0,0,0,0,0,0,0,0,634,4751,0,0,0,0,0,0,4023,0,7210,0,0,0,0,7210,5559,0,0,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_98",0,0,0,0,0,0,3265,0,5639,5184,1197,6336,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,0,1555,0,2470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4535,6230,2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_260",6790,3280,0,5073,336,0,0,0,0,0,0,0,0,0,0,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726,0,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4624,6395,2988,6715,0,0,0,0,0,0,0,0,0
"id_286",5326,7195,0,0,0,0,0,5454,0,0,0,0,0,0,0,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0,7210,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779,0,2048,2103,4588,6397,2951,3789,673,49,0,0
"id_307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,0,699,1344,1420,581,4891,5168,764,969,853,0,0,0,0,0,0,5336,4777,5189,925,1087,0,1255,0,0,618,5114,0,1258,217,0,0,0,0,0,200,1280,1204,1049,1289,3149,734,5116,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4283
"id_315",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,7210,0,0,0,0,0,0,0,0,0,611,0,7210,3202,0,0,0,7210,0,0,0,351,0,4453,0,0,0,0,0,0,0,3709,7210,0,579,6326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210
"id_316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,7208,0,0,0,0,0,0,0,0,4844,7210,0,6800,0,0,0,0,0,0,0,7209,0,0,0,0,0,0,0,0,0,0,0,0,0,6568,0,7207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2881
"id_317",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,88,0,7210,7208,0,0,0,0,0,0,0,0,5022,6811,6798,0,0,0,0,0,0,0,0,7210,0,0,0,0,0,0,0,0,0,2,2,0,2,5887,0,7151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1344
"id_321",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,7208,7210,0,7096,0,0,0,929,0,0,0,0,7210,0,552,0,0,0,0,2527,6801,7210,0,0,0,0,7208,6731,6624,5444,7089,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133
"id_325",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,5630,2674,0,7210,0,0,0,1128,0,0,0,4624,0,0,0,0,0,0,0,1319,2523,5332,0,0,0,0,4748,6722,2111,2129,7210,2473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_335",5450,7210,0,371,0,0,0,5605,0,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2410,0,0,0,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6758,0,7180,1423,7210,6424,0,1747,652,0,0,0
"id_340",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,0,0,0,7210,7210,0,0,0,0,0,1264,0,0,0,7210,2661,0,0,0,0,0,0,0,6801,0,0,0,0,0,0,0,7179,7210,3319,7210,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4216
"id_362",0,0,0,2096,4106,6560,4131,0,7210,0,0,9,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2401,0,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1691,7207,3096,847,0,0,0,0,0,0,0,0,0,0,0,0
"id_373",0,0,0,0,0,0,0,0,0,0,0,0,801,1,0,0,0,7035,7171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4251,0,0,0,0,0,0,0,0,0,0,0,4350,337,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
