"id","id_1","id_2","id_8","id_11","id_13","id_19","id_20","id_22","id_24","id_29","id_61","id_95","id_149","id_161","id_170","id_204","id_225","id_231","id_406","id_407","id_408","id_409","id_410","id_411","id_412","id_413","id_414","id_415","id_416","id_417","id_418","id_420","id_421","id_422","id_423","id_424","id_425","id_426"
"id_412",0,0,0,28,0,0,0,0,0,58,0,0,0,0,0,0,0,3,0,10,0,0,0,4,0,0,0,23,65,0,0,7,37,0,0,0,0,0
"id_413",0,0,5,32,0,0,0,0,0,115,0,0,0,0,0,0,0,0,46,4,0,0,32,12,0,0,0,140,0,0,0,0,0,0,0,0,135,24
"id_414",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,21,23,0,136,0,0,0,0
"id_415",0,0,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,48,0,0,2,365,23,140,0,0,0,0,0,0,2,0,0,0,20,22
"id_416",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,65,0,0,0,0,0,0,25,0,0,0,0,0,0
"id_417",0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,54,0,0,0,0,46,0,6,0,124,5,0
"id_418",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,25,0,23,0,0
"id_420",0,0,0,105,0,0,0,0,0,14,0,7,0,0,0,0,0,9,0,21,0,0,0,242,7,0,23,0,25,46,0,0,0,212,0,53,40,0
"id_421",0,0,0,50,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,29,0,0,0,2,37,0,0,2,0,0,0,0,0,0,0,0,74,0
"id_422",0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,136,0,0,6,25,212,0,0,65,14,0,0
"id_423",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0
"id_424",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,23,53,0,14,0,0,0,0
"id_425",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,998,0,135,0,20,0,5,0,40,74,0,0,0,0,116
"id_426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,81,0,0,24,0,22,0,0,0,0,0,0,0,0,116,0
