"id","id_1","id_2","id_3","id_4","id_7","id_11","id_12","id_14","id_18","id_21","id_24","id_29","id_31","id_32","id_33","id_36","id_39","id_44","id_53","id_55","id_58","id_63","id_64","id_65","id_69","id_70","id_71","id_74","id_75","id_76","id_78","id_79","id_81","id_82","id_83","id_84","id_85","id_86","id_87","id_91","id_92","id_93","id_95","id_97","id_99","id_100","id_101","id_104","id_105","id_106","id_108","id_109","id_110","id_111","id_112","id_113","id_114","id_115","id_116","id_117","id_118","id_119","id_120","id_121","id_122","id_123","id_124","id_125","id_126","id_127","id_128","id_130","id_131","id_132","id_133","id_134","id_135","id_137","id_138","id_139","id_140","id_141","id_142","id_143","id_144","id_146","id_147","id_148","id_149","id_151","id_152","id_153","id_154","id_158","id_159","id_160","id_161","id_162","id_163","id_164","id_165","id_166","id_167","id_168","id_169","id_170","id_172","id_173","id_174","id_179","id_180","id_182","id_183","id_184","id_185","id_187","id_198","id_199","id_267","id_281","id_992","id_994","id_1370","id_1372","id_1373","id_1374","id_1375","id_1376","id_1377","id_1378","id_1379","id_1380","id_1383","id_1384","id_1385","id_1388","id_1389","id_1390","id_1392","id_1397","id_1398","id_1399","id_1400","id_1401","id_1402","id_1403","id_1404","id_1405","id_1406","id_1407","id_1408","id_1410","id_1411","id_1412","id_1413","id_1414","id_1415","id_1416","id_1417","id_1418","id_1419","id_1420","id_1421","id_1422","id_1423","id_1424","id_1426","id_1427","id_1430","id_1431","id_1432","id_1433","id_1434","id_1435","id_1436","id_1437","id_1438","id_1439","id_1440","id_1441","id_1442","id_1443","id_1444","id_1445","id_1446","id_1447","id_1448","id_1449","id_1450","id_1451","id_1452","id_1453","id_1454","id_1455","id_1456","id_1457","id_1458","id_1459","id_1460","id_1461","id_1462","id_1463","id_1464","id_1465","id_1466","id_1467","id_1468","id_1469","id_1471","id_1472"
"id_24",4033,0,0,0,338,0,0,0,0,0,0,464,0,0,472,0,0,0,299,0,382,0,0,0,0,0,0,2071,2942,3572,574,876,0,0,0,0,0,0,4274,151,0,0,0,0,103,0,0,0,0,131,0,1481,0,0,0,0,119,0,0,0,1181,0,2623,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,932,0,0,0,0,2938,1584,0,458,0,0,1958,0,4060,2247,127,317,2100,2353,2156,4545,0,4124,1267,0,0,2199,0,361,0,0,0,0,0,0,0,0,673,0,0,0,0,0,744,459,40,185,350,583,477,3472,0,0,206,0,0,0,0,0,0,0,0,0,0,0,458,0,0,0,0,0,338,0,0,457,0,1677,0,1078,1194,3610,3565,0,785,0,0,2928,0,0,575,1366,1017,1389,608,3583,1314,0,369,955,376,177,59,902,0,0,0,0,0,0,0,0,338,468,0,303,0,0,2783,0,0,220
"id_29",0,0,0,0,1020,2812,5175,0,323,4837,402,0,162,150,4129,0,4112,278,0,0,1667,0,0,0,0,0,0,0,0,0,0,1848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,11,347,3120,0,0,0,1451,0,0,758,697,0,0,0,0,0,336,1577,4380,521,4377,4215,1477,152,1059,669,691,290,173,4600,655,715,3052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,164,1376,0,0,528,0,504,0,42,499,0,0,0,0,0,0,0,331,3060,2853,1352,1161,312,2947,1129,599,238,772,2544,21,0,610,755,0,0,0,0,420,366,403,507,1057,930,0,331,3709,0,0,0,0,0
"id_31",0,0,0,0,4052,3750,0,0,0,0,0,254,0,4331,1449,0,0,0,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6426,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877,0,0,0,0,0,0,2752,0,0,182,0,0,3835,33,2264,5802,2462,176,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821,0,4547,0,0,0,0,0,0,0,0,0,2521,2042,0,47,0,322,0,17,0,0,0,8,0,0,0,0,0,0,0,1726,0,0,0,0,573,0,421,1300,0,0,0,0,0
"id_32",0,0,0,0,4029,3688,0,0,0,0,0,437,4331,0,1479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854,0,0,0,0,0,0,2223,0,0,0,0,0,4290,411,2276,5806,2558,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,4737,0,0,0,0,0,0,0,0,0,1587,1762,0,58,0,0,0,0,0,42,0,2,0,0,0,0,0,0,0,1417,0,0,0,0,759,0,501,1048,0,0,0,0,0
"id_33",0,0,0,0,557,2409,2906,0,1469,1575,351,5355,161,0,0,0,54,0,0,0,913,0,0,0,0,0,0,0,0,0,709,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,42,0,0,0,150,0,0,0,0,0,0,368,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,374,0,0,0,0,180,0,0,0,45,0,240,270,2510,0,0,0,4244,0,0,1422,406,0,0,0,0,0,0,632,1000,1189,2699,2620,2230,1716,1773,1571,18,946,1540,3907,3214,510,2356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,0,0,0,0,135,1995,0,0,567,0,0,0,1045,640,0,0,0,0,0,0,0,0,1890,2251,1890,598,1108,813,0,731,0,315,2087,0,286,2483,708,0,0,0,0,407,263,0,0,671,593,436,0,1624,0,148,0,0,0
"id_36",0,0,320,0,0,0,0,5723,0,0,0,0,0,0,0,0,0,0,0,0,507,67,2947,461,674,0,0,27,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,304,0,359,582,4207,385,0,0,1184,1345,2306,101,499,64,301,398,249,0,0,0,2871,4831,0,0,0,0,83,292,1161,1400,5173,1197,3857,558,1291,21,80,50,4117,390,3666,753,0,0,57,1252,0,0,0,5915,0,0,0,61,245,196,0,1316,0,0,0,1116,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,374,0,0,7,4519,527,173,0,290,312,3785,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,0,308,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,58,365,0,0,0,0,0,0,0,92,0,0,356,0,295,1344,534
"id_39",0,0,0,0,0,1294,7117,0,0,7210,0,3172,0,0,308,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,1293,0,0,0,0,0,0,2800,6306,3040,4421,7210,3489,1752,737,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,127,12,3292,0,694,48,144,0,0,262,0,0,0,0,0,0,0,0,66,336,526,510,690,3,0,0,3601,0,0,0,0,0
"id_44",0,0,0,0,0,0,0,0,1876,400,0,292,0,0,0,0,1235,0,0,0,146,0,0,0,0,0,0,0,0,0,0,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,1031,65,0,0,0,0,0,5963,1786,1221,0,0,0,0,0,0,0,0,0,0,133,0,116,1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1331,5345,0,2838,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1308,0,1558,2091,0,699,0,1741,0,0,474,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,3762,1168,0,0,0,0,0
"id_53",276,22,0,1477,4146,52,0,0,0,0,234,0,4290,4196,0,0,0,0,0,970,0,0,0,266,0,489,958,137,175,346,0,240,806,4773,806,781,2081,4827,266,0,0,0,0,0,109,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,53,89,2032,306,114,0,297,55,232,1,0,28,0,0,83,369,340,264,0,270,1146,150,348,0,281,151,605,244,802,0,952,116,964,132,1057,0,3012,0,0,0,0,0,0,0,0,191,1166,891,0,21,0,0,455,310,530,16,939,342,0,0,0,0,0,0,0,0,0,17,0,0,205,0,0,0,29,145,24,117,3827,1037,1723,216,351,351,0,443,0,0,299,2421,1465,547,105,145,261,510,445,1946,0,42,269,3353,210,179,0,0,52,0,0,0,0,0,0,0,546,0,189,234,0,319,0,0,0
"id_55",0,0,0,0,0,0,0,0,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,714,0,0,0,0,0,0,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,444,0,255,94,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,623,0,96,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,5686,5867,0,4776,0,678,0,0,7009,188,0,0,0,0,0,0,0,0,0,0,0,736,98,0,0,0,0,5936,0,0,0,0,258,83,0,0,0,0,0,0,0,0,0,0,3618,3526,0,0,0,0,0,0
