id,frames,locX,locY,orientation,size1Px,size2Px,speedPxPerSec,Interpolated,headLocX,headLocY
675,188,988,497,154,17.6379,43.5126,1,0,968.44555,506.53734
675,189,988,497,155,17.6379,43.5126,0,0,968.28207,506.19462
675,190,988,497,155,17.6379,43.5126,0,0,968.28207,506.19462
675,191,988,497,156,17.6379,43.5126,0,0,968.12461,505.84909
675,192,988,497,157,17.6379,43.5126,0,0,967.9732,505.50087
675,193,988,497,157,17.6379,43.5126,0,0,967.9732,505.50087
675,194,988,497,158,17.6379,43.5126,0,0,967.82789,505.15006
675,195,988,497,158,17.6379,43.5126,0,0,967.82789,505.15006
675,196,988,497,159,17.6379,43.5126,0,0,967.68872,504.79677
675,197,988,497,160,17.6379,43.5126,0,0,967.55574,504.4411
675,198,988,497,160,17.6379,43.5126,0,0,967.55574,504.4411
675,199,988,497,161,17.6379,43.5126,0,0,967.42899,504.08317
675,200,988,497,162,17.6379,43.5126,0,0,967.30851,503.72307
675,201,988,497,162,17.6379,43.5126,0,0,967.30851,503.72307
675,202,988,497,163,17.6379,43.5126,0,0,967.19432,503.36093
675,203,988,497,164,17.6379,43.5126,0,0,967.08648,502.99686
675,204,988,497,164,17.6379,43.5126,0,0,967.08648,502.99686
675,205,988,497,165,17.6379,43.5126,0,0,966.98501,502.63095
675,206,988,497,165,17.6379,43.5126,0,0,966.98501,502.63095
675,207,988,497,166,17.6379,43.5126,0,0,966.88993,502.26333
675,208,988,497,167,17.6379,43.5126,0,0,966.80129,501.89411
675,209,988,497,167,17.6379,43.5126,0,0,966.80129,501.89411
675,210,988,497,168,17.6379,43.5126,0,0,966.7191,501.52339
675,211,987,497,169,17.6379,43.5126,1,0,965.6434,501.1513
675,212,987,497,169,17.6379,43.5126,0,0,965.6434,501.1513
675,213,987,497,170,17.6379,43.5126,0,0,965.5742,500.77795
675,214,987,497,171,17.6379,43.5126,0,0,965.51153,500.40344
675,215,987,497,171,17.6379,43.5126,0,0,965.51153,500.40344
675,216,987,497,172,17.6379,43.5126,0,0,965.45541,500.02789
675,217,987,497,172,17.6379,43.5126,0,0,965.45541,500.02789
675,218,987,497,173,17.6379,43.5126,0,0,965.40584,499.65143
675,219,987,497,174,17.6379,43.5126,0,0,965.36286,499.27416
675,220,987,497,174,17.6379,43.5126,0,0,965.36286,499.27416
675,221,987,497,175,17.6379,43.5126,0,0,965.32647,498.89619
675,222,987,497,176,17.6379,43.5126,0,0,965.29667,498.51764
675,223,987,497,176,17.6379,43.5126,0,0,965.29667,498.51764
675,224,987,497,177,17.6379,43.5126,0,0,965.27349,498.13864
675,225,987,497,177,17.6379,43.5126,0,0,965.27349,498.13864
675,226,987,497,178,17.6379,43.5126,0,0,965.25693,497.75928
675,227,987,497,179,17.6379,43.5126,0,0,965.24699,497.3797
675,228,987,497,179,17.6379,43.5126,0,0,965.24699,497.3797
675,229,987,497,180,17.6379,43.5126,0,0,987,518.75632
675,230,987,497,180,17.6379,43.5126,0,0,987,518.75632
675,231,987,497,180,17.6379,43.5126,0,0,987,518.75632
675,232,987,497,180,17.6379,43.5126,0,0,987,518.75632
675,233,987,497,180,17.6379,43.5126,0,0,987,518.75632
675,234,987,497,180,17.6379,43.5126,0,0,987,518.75632
675,235,987,497,180,17.6379,43.5126,0,0,987,518.75632
675,236,987,497,180,17.6379,43.5126,0,0,987,518.75632
675,237,987,497,180,17.6379,43.5126,0,0,987,518.75632
675,238,987,497,180,17.6379,43.5126,0,0,987,518.75632
675,239,987,497,180,17.6379,43.5126,0,0,987,518.75632
675,240,987,497,180,17.6379,43.5126,0,0,987,518.75632
